,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
0,Masha and the Bear: Evolution,FAMILY,4.5,2062,42.0,"500,000+",Free,0.0,Everyone,Strategy;Education,"June 14, 2018",1.0.9,4.0 and up
1,Official Matsumoto Kiyoshi application,LIFESTYLE,3.2,3031,2.7,"1,000,000+",Free,0.0,Everyone,Lifestyle,"July 3, 2018",1.5.3,4.0 and up
2,autolina.ch has over 120'000 cars on offer.,AUTO_AND_VEHICLES,4.2,25,6.5,"10,000+",Free,0.0,Everyone,Auto & Vehicles,"August 2, 2017",1.02,4.2 and up
3,Little Eye Surgery Simulator - ER Doctor Game,FAMILY,4.4,12,19.0,"1,000+",Free,0.0,Teen,Casual,"April 20, 2018",1.0,2.3 and up
4,Talking Babsy Baby: Baby Games,LIFESTYLE,4.0,140995,100.0,"10,000,000+",Free,0.0,Everyone,Lifestyle;Pretend Play,"July 16, 2018",9.0,4.0 and up
5,Human Dx,MEDICAL,4.8,6,16.0,500+,Free,0.0,Everyone,Medical,"August 4, 2018",Human Dx,6.0 and up
6,HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20.0,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
7,Real City Car Driver,GAME,3.7,413609,22.0,"10,000,000+",Free,0.0,Mature 17+,Racing,"August 1, 2018",2.8,4.1 and up
8,The Emirates App,TRAVEL_AND_LOCAL,4.4,22748,55.0,"1,000,000+",Free,0.0,Everyone,Travel & Local,"August 6, 2018",4.7.1,5.0 and up
9,PUBG MOBILE,GAME,4.4,3714270,36.0,"50,000,000+",Free,0.0,Teen,Action,"July 24, 2018",0.7.0,4.3 and up
10,MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82.0,"1,000,000+",Free,0.0,Everyone,Sports,"June 27, 2018",1.2.1,4.2 and up
11,Neon-R (Red),PERSONALIZATION,4.7,25,41.0,100+,Paid,0.99,Everyone,Personalization,"March 12, 2015",1.0,4.0.3 and up
13,"Ocala Star Banner, FL",NEWS_AND_MAGAZINES,4.5,75,8.1,"5,000+",Free,0.0,Everyone,News & Magazines,"July 25, 2018",5.1,4.4 and up
14,Next Launcher 3D Theme Hit-B,PERSONALIZATION,4.4,83,8.6,"1,000+",Paid,1.7,Everyone,Personalization,"August 16, 2015",1.05,2.2 and up
15,BZ Zombie VR,GAME,4.4,12,98.0,"1,000+",Free,0.0,Mature 17+,Action,"February 7, 2018",1.4,4.4 and up
16,PeopleTV - Watch Celebrity News,FAMILY,4.3,2223,8.6,"100,000+",Free,0.0,Teen,Entertainment,"March 28, 2018",1.2.0.8,4.1 and up
19,Betting Tips / Sports Tips by CG Tipster,SPORTS,4.1,315,7.7,"10,000+",Free,0.0,Everyone,Sports,"July 18, 2018",6.95,4.4 and up
20,Night Photo Frame,PHOTOGRAPHY,4.5,4400,8.3,"1,000,000+",Free,0.0,Everyone,Photography,"July 28, 2018",2.0.1,4.0.3 and up
21,San Andreas: Gang Crime V,GAME,4.1,2399,42.0,"100,000+",Free,0.0,Mature 17+,Action,"January 28, 2018",1.0.1,2.3 and up
22,Recipe Keeper,FOOD_AND_DRINK,4.4,1962,22.0,"100,000+",Free,0.0,Everyone,Food & Drink,"June 27, 2018",3.17.1.0,4.1 and up
23,WebCams,WEATHER,4.6,3963,23.0,"100,000+",Free,0.0,Everyone,Weather,"July 17, 2018",5.2.11,4.2 and up
24,Big Q Car Service,MAPS_AND_NAVIGATION,4.4,75,26.0,"5,000+",Free,0.0,Everyone,Maps & Navigation,"May 15, 2017",3.002,4.0.3 and up
25,Hotel Insanity,GAME,4.2,3816,31.0,"100,000+",Free,0.0,Teen,Arcade,"July 7, 2016",1.0,3.0 and up
26,CR Magazine,BUSINESS,1.0,1,7.8,100+,Free,0.0,Everyone,Business,"July 23, 2014",2.4.2,2.3.3 and up
27,BaBe Lite - Read Quota Saving News,NEWS_AND_MAGAZINES,4.5,9548,15.0,"1,000,000+",Free,0.0,Everyone,News & Magazines,"August 1, 2018",6.6.4,4.0 and up
30,Real DJ Simulator,FAMILY,4.0,68664,55.0,"10,000,000+",Free,0.0,Everyone,Simulation,"April 20, 2018",1.7,4.1 and up
31,MARCA - Sports Leader Diary,SPORTS,3.9,76346,14.0,"5,000,000+",Free,0.0,Everyone,Sports,"July 25, 2018",6.3.3,4.1 and up
32,Masha and the Bear,FAMILY,4.4,15105,36.0,"1,000,000+",Free,0.0,Everyone,Education,"June 11, 2018",3.1.8,4.3 and up
33,Microsoft Outlook,PRODUCTIVITY,4.3,3249518,50.0,"100,000,000+",Free,0.0,Everyone,Productivity,"August 2, 2018",2.2.194,4.4 and up
34,"BT Dating -Find your match, help cupid, be social",SOCIAL,4.1,158,26.0,"50,000+",Free,0.0,Mature 17+,Social,"July 19, 2018",2.3,4.1 and up
37,Lake Michigan CU Mobile,FINANCE,4.0,732,5.5,"50,000+",Free,0.0,Everyone,Finance,"April 2, 2018",3.0.21,4.0 and up
38,Cops N Robbers 2,GAME,4.1,63680,46.0,"1,000,000+",Free,0.0,Everyone 10+,Adventure,"June 2, 2018",2.2.2,4.1 and up
39,Helping BD,LIFESTYLE,5.0,15,4.5,100+,Free,0.0,Everyone,Lifestyle,"June 19, 2018",2.1,4.0.3 and up
